id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo
"260173,0",2020-01-01,quarta-feira,16:10:00,SC,282,"388,9",JOACABA,Falta de Atenção à Condução,Colisão com objeto estático,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Curva,Não,1,0,0,0,1,0,0,1,-27.179003,-51.531616,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2020
"260265,0",2020-01-02,quinta-feira,02:00:00,SC,101,"363,0",SANGAO,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Viaduto;Declive;Reta,Não,6,0,2,0,3,1,2,5,-28.67634681,-49.12963202,SPRF-SC,DEL02-SC,UOP01-DEL02-SC,2020
"260268,0",2020-01-02,quinta-feira,04:15:00,SC,280,"111,0",SAO BENTO DO SUL,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Rotatória;Declive;Curva,Sim,3,0,2,0,0,2,2,3,-26.31295828,-49.38837778,SPRF-SC,DEL06-SC,UOP03-DEL06-SC,2020
"260405,0",2020-01-02,quinta-feira,16:50:00,SC,282,"520,7",XAXIM,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Rotatória,Não,3,0,0,0,2,2,0,4,-26.950415,-52.526096,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2020
"260416,0",2020-01-02,quinta-feira,15:30:00,SC,470,"121,0",IBIRAMA,Velocidade Incompatível,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Múltipla,Curva,Não,5,0,1,3,1,0,4,2,-27.09550316,-49.52962875,SPRF-SC,DEL04-SC,UOP02-DEL04-SC,2020
"260497,0",2020-01-03,sexta-feira,02:40:00,SC,101,"36,8",JOINVILLE,Ingestão de Álcool,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Nublado,Dupla,Reta,Sim,2,0,0,0,1,1,0,2,-26.24573198,-48.9101069,SPRF-SC,DEL03-SC,UOP01-DEL03-SC,2020
"260550,0",2020-01-03,sexta-feira,10:40:00,SC,282,"460,0",PONTE SERRADA,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Declive,Não,4,0,2,0,1,2,2,4,-26.856062,-52.03215,SPRF-SC,DEL07-SC,UOP04-DEL07-SC,2020
"260706,0",2020-01-03,sexta-feira,22:15:00,SC,280,"18,2",BALNEARIO BARRA DO SUL,Carga excessiva e/ou mal acondicionada,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Simples,Curva,Não,3,0,2,0,0,2,2,3,-26.36432495,-48.66444809,SPRF-SC,DEL03-SC,UOP03-DEL03-SC,2020
"260822,0",2020-01-04,sábado,07:00:00,SC,282,"64,2",RANCHO QUEIMADO,Velocidade Incompatível,Colisão transversal,Com Vítimas Fatais,Pleno dia,Decrescente,Chuva,Simples,Curva,Não,4,1,1,0,1,1,1,3,-27.6971322,-49.05502796,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,2020
"260937,0",2020-01-05,domingo,04:50:00,SC,470,"124,4",LONTRAS,Mal Súbito,Colisão frontal,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Reta,Não,3,0,0,1,1,1,1,3,-27.113192,-49.529163,SPRF-SC,DEL04-SC,UOP02-DEL04-SC,2020
"261156,0",2020-01-06,segunda-feira,10:50:00,SC,101,"417,8",ARARANGUA,Desobediência às normas de trânsito pelo condutor,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Interseção de Vias,Sim,2,0,0,1,1,0,1,2,-28.97376391,-49.53023409,SPRF-SC,DEL02-SC,UOP02-DEL02-SC,2020
"261261,0",2020-01-06,segunda-feira,15:40:00,SC,470,"237,2",SAO CRISTOVAO DO SUL,Velocidade Incompatível,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,2,0,0,0,1,1,0,2,-27.304129,-50.456207,SPRF-SC,DEL05-SC,UOP03-DEL05-SC,2020
"261304,0",2020-01-07,terça-feira,07:20:00,SC,470,"61,7",BLUMENAU,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Sim,2,0,1,0,1,0,1,2,-26.87499978,-49.1818428,SPRF-SC,DEL04-SC,UOP01-DEL04-SC,2020
"261310,0",2020-01-07,terça-feira,07:50:00,SC,101,"218,0",PALHOCA,Desobediência às normas de trânsito pelo condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,1,1,1,0,2,2,-27.6758601,-48.67052525,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2020
"261323,0",2020-01-07,terça-feira,08:05:00,SC,101,"134,4",BALNEARIO CAMBORIU,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,2,1,0,0,1,0,0,2,-27.00218,-48.636433,SPRF-SC,DEL04-SC,UOP03-DEL04-SC,2020
"261349,0",2020-01-07,terça-feira,11:45:00,SC,101,"464,0",PASSO DE TORRES,Carga excessiva e/ou mal acondicionada,Incêndio,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Reta,Não,2,0,0,0,1,1,0,2,-29.29207274,-49.76148319,SPRF-RS,DEL03-RS,UOP02-DEL03-RS,2020
"261495,0",2020-01-08,quarta-feira,07:00:00,SC,280,"93,7",CORUPA,Desobediência às normas de trânsito pelo condutor,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Nevoeiro/Neblina,Simples,Reta,Não,2,0,1,0,1,0,1,2,-26.38472876,-49.30877566,SPRF-SC,DEL06-SC,UOP03-DEL06-SC,2020
"261521,0",2020-01-08,quarta-feira,14:35:00,SC,101,"203,0",SAO JOSE,Desobediência às normas de trânsito pelo condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-27.5650044,-48.61460082,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2020
"261539,0",2020-01-08,quarta-feira,14:50:00,SC,101,"25,0",JOINVILLE,Falta de Atenção à Condução,Colisão com objeto estático,Sem Vítimas,Pleno dia,Crescente,Nublado,Simples,Reta,Sim,2,0,0,0,1,1,0,2,-26.1834739,-48.9105912,SPRF-SC,DEL03-SC,UOP01-DEL03-SC,2020
"261548,0",2020-01-08,quarta-feira,14:00:00,SC,116,"308,8",CAPAO ALTO,Carga excessiva e/ou mal acondicionada,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Aclive;Curva,Não,2,0,1,0,0,2,1,3,-28.19713229,-50.75889587,SPRF-SC,DEL05-SC,UOP02-DEL05-SC,2020
"261597,0",2020-01-08,quarta-feira,19:30:00,SC,470,"175,0",POUSO REDONDO,Falta de Atenção à Condução,Colisão com objeto estático,Sem Vítimas,Plena Noite,Crescente,Nublado,Simples,Reta,Sim,1,0,0,0,1,0,0,1,-27.25649896,-49.93695974,SPRF-SC,DEL04-SC,UOP02-DEL04-SC,2020
"261632,0",2020-01-09,quinta-feira,06:30:00,SC,280,"91,0",CORUPA,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Nevoeiro/Neblina,Simples,Curva;Declive,Não,2,0,0,1,0,1,1,2,-26.40198057,-49.29053774,SPRF-SC,DEL06-SC,UOP03-DEL06-SC,2020
"261694,0",2020-01-09,quinta-feira,13:01:00,SC,282,"330,5",CAMPOS NOVOS,Ultrapassagem Indevida,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3,0,1,0,0,2,1,3,-27.387941,-51.116081,SPRF-SC,DEL07-SC,UOP06-DEL07-SC,2020
"261829,0",2020-01-10,sexta-feira,05:30:00,SC,282,"464,0",PONTE SERRADA,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Reta;Aclive,Não,4,0,1,0,2,1,1,3,-26.852072,-52.068142,SPRF-SC,DEL07-SC,UOP04-DEL07-SC,2020
"261858,0",2020-01-10,sexta-feira,07:50:00,SC,280,"178,8",MAFRA,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,4,0,3,0,0,1,3,2,-26.1159948,-49.7865526,SPRF-SC,DEL06-SC,UOP01-DEL06-SC,2020
"261923,0",2020-01-10,sexta-feira,15:20:00,SC,116,"221,0",CORREIA PINTO,Defeito Mecânico no Veículo,Danos eventuais,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,1,0,1,0,0,0,1,1,-27.58573399,-50.36555188,SPRF-SC,DEL05-SC,UOP03-DEL05-SC,2020
"261942,0",2020-01-10,sexta-feira,16:16:00,SC,282,"332,5",CAMPOS NOVOS,Condutor Dormindo,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Não,5,0,3,0,1,1,3,5,-27.390564,-51.125843,SPRF-SC,DEL07-SC,UOP06-DEL07-SC,2020
"261945,0",2020-01-10,sexta-feira,15:20:00,SC,101,"98,0",BARRA VELHA,Mal Súbito,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,2,0,1,0,1,0,1,2,-26.73760897,-48.69918789,SPRF-SC,DEL03-SC,UOP02-DEL03-SC,2020
